,latitude,longitude,Chla,Turb,SS,COD,TP,NH3-N,BGA
62,30.196316,120.202866,1.453,18.56,166.388,96.204,0.803,0.184,0.328
63,30.196099,120.202584,1.093,13.31,104.404,95.45,0.235,0.235,0.164
64,30.195885,120.202306,1.255,14.809,126.484,95.343,0.407,0.207,0.328
65,30.195671,120.202028,1.253,14.499,107.647,96.53,0.325,0.121,0.288
66,30.195472,120.20176,2.397,21.465,90.116,96.907,0.979,0.162,0.792
67,30.195267,120.201478,1.413,17.172,131.854,96.311,0.639,0.163,0.376
68,30.195043,120.201161,1.766,17.39,103.659,96.592,0.96,0.14,0.514
69,30.19484,120.200867,1.519,18.081,142.26,97.721,0.818,0.17,0.398
70,30.194635,120.200554,2.078,17.384,86.389,96.288,0.99,0.229,0.68
71,30.194442,120.200236,1.193,17.565,185.139,97.967,0.485,0.095,0.183
72,30.194249,120.199918,1.222,15.171,127.204,98.842,0.364,0.047,0.244
73,30.194056,120.199601,1.269,15.958,125.079,98.577,0.41,0.161,0.225
74,30.193867,120.199289,1.49,13.93,95.222,96.839,0.613,0.116,0.5
75,30.19368,120.198981,1.323,17.453,146.454,99.608,0.506,0.045,0.297
76,30.193491,120.198668,1.218,14.339,117.936,97.689,0.371,0.15,0.296
77,30.193305,120.198362,1.827,20.217,116.839,99.469,0.958,0.19,0.569
78,30.19312,120.198057,1.615,18.397,107.812,96.561,0.967,0.103,0.521
79,30.192938,120.197757,1.212,18.41,170.101,99.238,0.499,0.023,0.192
80,30.192756,120.197458,1.566,17.971,140.093,98.174,0.968,0.167,0.561
81,30.192572,120.197156,1.126,16.141,107.707,95.575,0.371,0.068,0.248
82,30.192391,120.196857,1.09,12.214,98.389,95.516,0.135,0.025,0.038
83,30.19221,120.196558,1.704,18.62,135.299,95.214,0.977,0.065,0.551
84,30.192023,120.19625,1.174,14.365,110.315,96.909,0.299,0.204,0.253
85,30.191836,120.195942,1.105,13.956,95.339,97.209,0.391,0.072,0.323
86,30.191652,120.195636,2.369,20.995,83.825,99.289,0.962,0.182,0.765
87,30.191472,120.19534,1.293,15.994,83.452,96.968,0.454,0.203,0.285
88,30.191296,120.19505,1.737,20.503,122.868,99.562,0.966,0.22,0.539
89,30.191119,120.194757,1.188,15.249,107.19,97.656,0.477,0.17,0.334
90,30.190943,120.194466,1.268,18.923,132.567,98.201,0.58,0.016,0.216
91,30.190786,120.194209,1.312,18.594,159.971,96.32,0.513,0.131,0.295
92,30.190652,120.193987,1.436,16.484,110.123,98.39,0.706,0.241,0.381
93,30.190539,120.193802,1.312,15.458,109.405,98.408,0.38,0.212,0.357
94,30.190447,120.193651,1.225,16.723,139.069,99.739,0.409,0.017,0.3
95,30.190391,120.193559,1.291,15.997,115.655,99.536,0.451,0.05,0.262
96,30.190384,120.19355,1.167,15.568,145.371,99.803,0.312,0.059,0.127
97,30.190389,120.193549,1.23,16.05,129.198,98.375,0.464,0.181,0.264
98,30.190386,120.193545,1.27,16.029,138.699,97.547,0.39,0.035,0.19
99,30.190387,120.193546,1.213,14.98,117.266,96.521,0.287,0.055,0.159
100,30.190388,120.193547,1.208,15.578,124.334,98.747,0.332,0.038,0.201
101,30.190392,120.193549,1.27,16.904,140.01,97.349,0.441,0.109,0.233
102,30.190392,120.19355,1.275,17.143,136.285,99.863,0.453,0.082,0.271
103,30.190391,120.193551,1.213,16.188,149.323,98.267,0.346,0.25,0.264
104,30.190391,120.19355,1.28,16.325,135.042,95.998,0.368,0.004,0.236
105,30.190392,120.193551,0.922,8.994,19.203,72.486,0.063,0.032,0.099
106,30.190392,120.193552,1.157,12.987,110.072,98.67,0.226,0.244,0.227
107,30.190393,120.193553,1.136,12.799,79.6,98.666,0.245,0.161,0.298
108,30.190391,120.193552,1.158,12.49,93.513,99.629,0.271,0.004,0.276
109,30.190391,120.193552,1.274,13.371,112.199,99.567,0.269,0.174,0.283
110,30.19039,120.193552,1.166,12.715,104.675,99.816,0.202,0.028,0.193
111,30.19039,120.193553,1.144,12.374,95.492,99.827,0.205,0.128,0.209
112,30.190389,120.193553,1.212,12.482,88.623,99.976,0.232,0.238,0.273
113,30.190389,120.193553,1.166,12.803,74.198,95.75,0.225,0.124,0.245
114,30.190389,120.193553,1.218,12.97,121.656,97.859,0.301,0.04,0.292
115,30.190388,120.193554,1.174,12.941,96.98,97.356,0.255,0.059,0.279
116,30.190388,120.193554,1.543,20.444,116.886,98.986,0.975,0.171,0.501
117,30.190388,120.193554,1.424,20.132,148.689,98.501,0.971,0.133,0.512
118,30.190387,120.193554,1.451,21.399,165.794,99.747,0.955,0.025,0.512
119,30.190387,120.193554,1.53,29.342,193.547,97.317,0.957,0.072,0.591
120,30.190386,120.193554,1.63,41.706,194.389,95.804,0.983,0.058,0.597
121,30.190385,120.193554,1.53,42.477,162.105,96.3,0.954,0.097,0.596
122,30.190384,120.193554,1.386,40.397,153.755,99.444,0.964,0.185,0.627
123,30.190383,120.193555,1.766,43.589,199.22,98.333,0.994,0.238,0.596
124,30.190383,120.193555,1.674,41.051,173.537,96.234,0.985,0.238,0.597
125,30.190383,120.193555,1.929,40.713,151.839,95.337,0.976,0.168,0.627
126,30.190382,120.193555,1.769,43.502,192.761,95.964,0.954,0.199,0.659
127,30.190382,120.193555,1.63,44.383,181.758,98.672,0.976,0.08,0.621
128,30.190382,120.193555,1.721,40.57,194.976,97.316,0.976,0.214,0.611
129,30.190382,120.193555,1.63,45.57,155.5,99.137,0.957,0.004,0.588
130,30.190381,120.193555,1.721,45.593,167.273,95.52,0.963,0.082,0.576
131,30.190381,120.193554,1.581,47.891,136.045,99.434,0.957,0.103,0.633
132,30.190381,120.193554,1.822,40.212,198.554,97.744,0.955,0.098,0.59
133,30.190381,120.193555,1.456,38.028,189.846,97.287,0.954,0.07,0.586
134,30.190381,120.193555,1.544,51.092,172.609,96.895,0.999,0.142,0.603
135,30.190382,120.193556,1.825,40.888,138.134,96.041,0.997,0.105,0.643
136,30.190381,120.193555,1.721,42.361,186.879,95.647,0.974,0.243,0.629
137,30.190381,120.193556,1.771,34.609,148.189,97.633,0.998,0.18,0.618
138,30.190381,120.193556,1.678,45.57,170.454,95.692,0.982,0.098,0.65
139,30.190381,120.193555,1.673,42.108,170.454,99.482,0.963,0.246,0.658
140,30.190381,120.193555,1.622,43.589,178.803,97.094,0.981,0.069,0.596
141,30.19038,120.193554,1.77,38.187,167.273,95.795,0.957,0.08,0.629
142,30.19038,120.193554,1.825,46.29,125.559,99.417,0.96,0.053,0.59
143,30.19038,120.193554,1.721,45.57,192.719,98.406,0.954,0.148,0.625
144,30.19038,120.193554,1.868,44.129,150.31,97.904,0.992,0.241,0.612
145,30.19038,120.193553,1.673,40.288,179.427,95.506,0.974,0.15,0.567
146,30.190379,120.193554,1.494,38.432,157.095,98.99,0.96,0.228,0.59
147,30.190379,120.193554,1.585,45.57,178.119,98.266,0.96,0.156,0.621
148,30.190379,120.193553,1.434,44.849,146.753,97.87,1.0,0.085,0.527
149,30.190378,120.193553,1.822,44.8,196.575,96.568,0.984,0.158,0.603
150,30.190378,120.193552,1.721,49.171,178.119,95.728,0.961,0.054,0.611
151,30.190377,120.193552,1.67,41.66,190.348,98.484,0.985,0.039,0.68
152,30.190377,120.193552,1.721,39.742,124.864,97.398,0.989,0.088,0.645
153,30.190376,120.193552,1.769,41.411,181.758,97.539,0.992,0.217,0.547
154,30.190376,120.193551,1.917,39.299,153.755,99.945,0.983,0.055,0.578
155,30.190379,120.193552,1.628,50.016,178.803,98.476,0.985,0.169,0.577
156,30.190379,120.193552,1.592,44.199,146.753,99.426,0.954,0.047,0.597
157,30.190378,120.193552,1.673,35.485,191.998,95.145,0.984,0.038,0.645
158,30.190378,120.193552,1.482,39.537,183.813,96.545,0.984,0.088,0.616
